Time,/fdm/jsbsim/position/long-gc-deg,/fdm/jsbsim/position/lat-gc-deg,/fdm/jsbsim/position/h-sl-meters
22.192,-115.864197335821615,37.1114098427221464,1081.21259306962793
22.2,-115.86422224901338,37.1114238913979904,1081.09085024404226
22.208,-115.864247162473973,37.1114379402096048,1080.9691073253482
22.216,-115.864272076203306,37.1114519891569401,1080.84736431922329
22.224,-115.864296990201353,37.1114660382399606,1080.72562122339605
22.232,-115.864321904468,37.1114800874586521,1080.60387803786693
22.24,-115.864346819003217,37.111494136812972,1080.48213476377146
22.248,-115.864371733806919,37.1115081863028919,1080.36039140224466
22.256,-115.864396648879023,37.1115222359283479,1080.23864794988049
22.264,-115.864421564219427,37.1115362856892972,1080.11690441008523
22.272,-115.864446479828118,37.1115503355856902,1079.99516078172337
22.28,-115.864471395704953,37.11156438561747,1079.87341707047221
22.288,-115.864496311849933,37.111578435784665,1079.75167326724841
22.296,-115.864521228262944,37.1115924860871971,1079.62992937886429
22.304,-115.864546144943944,37.1116065365249952,1079.50818540418459
22.312,-115.864571061892775,37.1116205870980522,1079.38644134434458
22.32,-115.864595979109453,37.11163463780629,1079.26469719934471
22.328,-115.864620896593905,37.1116486886497157,1079.14295296577825
22.336,-115.864645814346005,37.1116627396282581,1079.02120864932249
22.344,-115.864670732365724,37.111676790741889,1078.89946424770665
22.352,-115.864695650653033,37.1116908419906082,1078.777719762066
22.36,-115.864720569207748,37.1117048933743305,1078.65597519012999
22.368,-115.864745488029882,37.1117189448930276,1078.53423053643996
22.376,-115.864770407119352,37.1117329965466496,1078.41248579759008
22.384,-115.864795326476042,37.1117470483351539,1078.2907409781219
22.392,-115.86482024609991,37.1117611002584979,1078.16899607462892
22.4,-115.864845165990928,37.1117751523166746,1078.04725108711136
22.408,-115.864870086148983,37.1117892045096198,1077.92550601897551
22.416,-115.86489500657396,37.111803256837284,1077.80376086795036
22.424,-115.864919927265859,37.1118173092996173,1077.68201563517164
22.432,-115.864944848224567,37.1118313618965985,1077.56027031950362
22.44,-115.864969769450042,37.1118454146281707,1077.43852492548831
22.448,-115.864994690942197,37.1118594674943409,1077.3167794474482
22.456,-115.865019612700976,37.1118735204950525,1077.19503388992553
22.464,-115.865044534726295,37.1118875736302485,1077.07328825178456
22.472,-115.86506945701808,37.1119016268998863,1076.95154253416058
22.48,-115.865094379576263,37.1119156803039303,1076.82979673818954
22.488,-115.865119302400757,37.1119297338423237,1076.70805085932921
22.496,-115.865144225491534,37.1119437875150453,1076.58630490212158
22.504,-115.86516914884848,37.1119578413220665,1076.46455886429544
22.512,-115.865194072471581,37.1119718952633662,1076.34281274812224
22.52,-115.865218996360696,37.1119859493388375,1076.22106655473704
22.528,-115.865243920515823,37.1120000035484878,1076.09932028300477
22.536,-115.865268844936836,37.1120140578922815,1075.977573932925
22.544,-115.865293769623662,37.1120281123701332,1075.85582750449771
22.552,-115.865318694576274,37.1120421669820502,1075.73408099885887
22.56,-115.865343619794615,37.1120562217280039,1075.61233441600803
22.568,-115.865368545278599,37.1120702766079731,1075.49058775480989
22.576,-115.865393471028113,37.1120843316218654,1075.36884101639998
22.584,-115.865418397043115,37.1120983867696452,1075.24709420418458
22.592,-115.865443323323547,37.1121124420512842,1075.12534731248616
22.6,-115.865468249869323,37.1121264974667397,1075.00360034584696
22.608,-115.865493176680388,37.1121405530159691,1074.88185330313149
22.616,-115.865518103756671,37.112154608698944,1074.76010618433952
22.624,-115.865543031098113,37.1121686645156643,1074.63835898833577
22.632,-115.865567958704617,37.1121827204660306,1074.51661171625551
22.64,-115.865592886576096,37.1121967765499861,1074.39486436809898
22.648,-115.865617814712536,37.1122108327675519,1074.27311694727246
22.656,-115.865642743113838,37.1122248891186715,1074.15136945036943
22.664,-115.865667671779974,37.1122389456033304,1074.02962188079664
22.672,-115.865692600710815,37.1122530022214292,1073.90787423855363
22.68,-115.86571752990632,37.1122670589729609,1073.78612652250536
22.688,-115.865742459366388,37.1122811158578685,1073.66437873378709
22.696,-115.86576738909099,37.1122951728761379,1073.5426308712631
22.704,-115.865792319080057,37.1123092300277193,1073.42088293834036
22.712,-115.865817249333517,37.1123232873125914,1073.29913493274762
22.72,-115.865842179851271,37.1123373447306832,1073.17738685562017
22.728,-115.865867110633289,37.1123514022819734,1073.05563870809374
22.736,-115.865892041679473,37.1123654599664121,1072.93389048903282
22.744,-115.865916972989737,37.1123795177839426,1072.81214220070842
22.752,-115.865941904564082,37.1123935757345791,1072.69039384198481
22.76,-115.865966836402364,37.1124076338182647,1072.56864541286245
22.768,-115.8659917685046,37.112421692034971,1072.44689691334065
22.776,-115.866016700870659,37.1124357503846554,1072.3251483434201
22.784,-115.866041633500501,37.1124498088672539,1072.20339970650684
22.792,-115.866066566394025,37.1124638674827381,1072.08165099805888
22.8,-115.866091499551189,37.1124779262310796,1071.95990222375394
22.808,-115.866116432971921,37.1124919851122357,1071.83815337791452
22.816,-115.866141366656151,37.1125060441261923,1071.7164044639469
22.824,-115.866166300603837,37.1125201032729208,1071.5946554795803
22.832,-115.866191234814906,37.1125341625523362,1071.47290643049178
22.84,-115.866216169289245,37.1125482219644098,1071.35115731327528
22.848,-115.866241104026798,37.1125622815091134,1071.22940812906631
22.856,-115.866266039027508,37.1125763411863829,1071.10765887672915
22.864,-115.866290974291331,37.1125904009962255,1070.98590955739928
22.872,-115.866315909818198,37.1126044609385985,1070.86416016994121
22.88,-115.866340845608036,37.1126185210134594,1070.74241071662618
22.888,-115.866365781660775,37.1126325812207867,1070.62066119745373
22.896,-115.866390717976302,37.1126466415604668,1070.49891161355981
22.904,-115.866415654554601,37.1126607020325068,1070.3771619626732
22.912,-115.866440591395587,37.1126747626368712,1070.25541224479389
22.92,-115.866465528499191,37.1126888233734959,1070.13366246332839
22.928,-115.866490465865425,37.1127028842424451,1070.0119126160057
22.936,-115.866515403494077,37.1127169452435552,1069.8901627039611
22.944,-115.866540341385175,37.1127310063768334,1069.76841272719503
22.952,-115.866565279538619,37.1127450676422299,1069.64666268684277
22.96,-115.866590217954325,37.1127591290397021,1069.52491257949782
22.968,-115.866615156632264,37.1127731905692215,1069.40316241083747
22.976,-115.866640095572407,37.1127872522308166,1069.28141217631992
22.984,-115.866665034774599,37.1128013140243809,1069.15966187821641
22.992,-115.866689974238838,37.1128153759498929,1069.03791151766177
23,-115.866714913965012,37.1128294380072958,1068.91616109352117
23.008,-115.866739853953078,37.1128435001965684,1068.79441060579416
23.016,-115.86676479420295,37.1128575625176751,1068.67266005675197
